,trial_id,country_name,recruitment_status,country_iso3
2479,809,Sweden,"Ongoing, recruiting",SWE
2480,810,Italy,"Authorised, recruitment pending",ITA
2481,811,Italy,Ended,ITA
2482,812,Spain,Ended,ESP
2483,812,Ireland,Ended,IRL
2484,813,Norway,Ended,NOR
2485,814,Germany,"Ongoing, recruiting",DEU
2486,815,Germany,Ended,DEU
2487,815,Belgium,Ended,BEL
2488,815,Spain,"Ongoing, recruitment ended",ESP
2489,816,Germany,"Ongoing, recruiting",DEU
2490,817,France,Ended,FRA
2491,817,Spain,Ended,ESP
2492,817,Belgium,Ended,BEL
2493,818,Netherlands,Ended,NLD
2494,819,Hungary,"Ongoing, recruiting",HUN
2495,819,Belgium,Ended,BEL
2496,819,Poland,"Ongoing, recruiting",POL
2497,819,France,"Ongoing, recruiting",FRA
2498,819,Germany,"Ongoing, recruiting",DEU
2499,819,Italy,"Ongoing, recruiting",ITA
2500,819,Spain,"Ongoing, recruiting",ESP
2501,820,France,Not authorised,FRA
2502,821,France,Ended,FRA
